source_post_id,source_author,source_publish_time,raw_after_generic_filter,hot_repost_count,source_day_count,plus_1_day_count,plus_3_day_count,plus_7_day_count,chosen_window,kept_count,target_count,max_api_page,reached_target,reason
5194434766438933,奶味小怡,2025-07-31 11:40:00,98,1,38,17,24,5,+3,80,80,10,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5194437107385334,獭是腮泷斯,2025-07-31 11:49:00,86,3,47,30,6,0,+1,80,80,7,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5194482524097071,打工小狗天天摸鱼版,2025-07-31 14:50:00,1,1,0,0,0,0,+7,1,80,1,False,hot+source_day first; fill with +1/+3/+7 if target is not reached
5194980691804172,MonicAmcHarg,2025-08-01 23:49:00,81,2,0,62,17,0,+3,81,80,10,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5195214452952262,王纯迅有想法,2025-08-02 15:18:00,90,3,87,0,0,0,source_day,90,80,11,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5195846526173533,我爱中低音,2025-08-04 09:10:00,222,4,0,0,0,0,+7,4,80,21,False,hot+source_day first; fill with +1/+3/+7 if target is not reached
5195970031649467,MIT_短腿涵,2025-08-05 21:58 转赞人数超过1600,118,2,0,0,0,0,+7,2,80,14,False,hot+source_day first; fill with +1/+3/+7 if target is not reached
5200689191717507,Gezelligheid_源轩超管组,2025-08-17 17:53:00,90,5,47,12,16,10,+3,80,80,6,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5201466824591477,王老师周易,2025-08-19 21:23:00,25,0,0,4,8,6,+7,18,80,19,False,hot+source_day first; fill with +1/+3/+7 if target is not reached
5202218919923524,洛洛洛洛铭洛洛_,2025-08-21 23:11:00,138,5,0,21,36,28,+7,90,80,12,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5204767795059338,COUM_童禹坤童话镇,2025-08-29 00:00:00,86,4,80,2,0,0,source_day,84,80,5,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5205795889485349,吳青峰新人站,2025-08-31 20:05:00,82,4,64,14,0,0,+1,82,80,6,True,hot+source_day first; fill with +1/+3/+7 if target is not reached
5221411208562263,跟着憧憬走下去,2025-10-15 18:05 转赞人数超过2000,197,2,0,0,0,0,+7,2,80,18,False,hot+source_day first; fill with +1/+3/+7 if target is not reached
